"Ángulo (rad) Serie Nº 12";"Intensidad luminosa (%) Serie Nº 12"
0,000;1,9
;1,9
;1,9
0,000;
;1,9
;1,9
0,000;1,9
;2,0
;1,9
0,000;
;1,9
;1,9
0,000;1,9
;1,9
;1,9
0,000;
;1,9
;1,9
0,000;1,9
;1,9
;1,9
0,000;
;1,9
;1,9
0,000;2,0
;2,0
;2,0
0,000;
;2,0
;2,0
0,000;2,0
;2,0
;2,0
0,000;
;2,0
;2,0
0,000;2,0
;2,0
;2,0
0,000;
;2,0
;2,0
-0,004;2,0
;2,0
;2,0
-0,004;
;2,0
;2,0
-0,004;2,0
;2,0
;2,0
-0,004;
;2,0
;2,0
-0,004;2,0
;2,0
;2,0
-0,004;
;2,0
;2,0
-0,004;2,0
;2,0
;2,0
-0,004;
;2,0
;2,0
0,000;2,0
;2,0
;2,0
0,004;
;2,0
;2,0
0,009;2,0
;2,0
;2,0
0,026;
;2,0
;2,0
0,057;2,0
;2,0
;2,0
0,140;
;2,0
;2,0
0,319;2,0
;2,0
;2,0
0,541;
;2,0
;2,0
0,829;1,9
;1,9
;1,9
1,126;
;1,9
;1,9
1,326;1,8
;1,8
;1,8
1,444;
;1,8
;1,7
1,501;1,7
;1,7
;1,7
1,553;
;1,7
;1,7
1,619;1,7
;1,7
;1,7
1,702;
;1,7
;1,7
1,798;1,6
;1,6
;1,6
1,850;
;1,6
;1,6
1,876;1,6
;1,6
;1,6
1,902;
;1,6
;1,6
1,942;1,6
;1,6
;1,6
1,985;
;1,6
;1,6
2,011;1,6
;1,6
;1,6
2,051;
;1,6
;1,6
2,086;1,6
;1,6
;1,6
2,142;
;1,6
;1,6
2,208;1,6
;1,6
;1,6
2,269;
;1,6
;1,5
2,330;1,6
;1,6
;1,6
2,365;
;1,5
;1,6
2,387;1,6
;1,5
;1,6
2,395;
;1,5
;1,5
2,404;1,6
;1,6
;1,5
2,439;
;1,6
;1,6
2,487;1,5
;1,5
;1,5
2,548;
;1,5
;1,5
2,579;1,5
;1,6
;1,6
2,587;
;1,6
;1,5
2,587;1,5
;1,6
;1,5
2,592;
;1,5
;1,5
2,596;1,5
;1,5
;1,5
2,605;
;1,5
;1,5
2,609;1,5
;1,5
;1,6
2,614;
;1,5
;1,6
2,618;1,5
;1,5
;1,5
2,631;
;1,6
;1,5
2,662;1,6
;1,5
;1,5
2,740;
;1,5
;1,5
2,827;1,5
;1,6
;1,6
2,893;
;1,5
;1,5
2,950;1,5
;1,5
;1,5
3,002;
;1,5
;1,5
3,054;1,5
;1,5
;1,5
3,120;
;1,5
;1,5
3,194;1,5
;1,5
;1,5
3,272;
;1,5
;1,5
3,351;1,5
;1,5
;1,5
3,425;
;1,5
;1,5
3,486;1,5
;1,5
;1,5
3,556;
;1,5
;1,5
3,595;1,5
;1,5
;1,5
3,635;
;1,5
;1,5
3,670;1,5
;1,5
;1,5
3,691;
;1,5
;1,5
3,726;1,5
;1,5
;1,5
3,761;
;1,5
;1,5
3,809;1,5
;1,5
;1,5
3,857;
;1,5
;1,5
3,901;1,5
;1,5
;1,5
3,923;
;1,5
;1,5
3,936;1,5
;1,5
;1,5
3,958;
;1,5
;1,5
3,979;1,5
;1,5
;1,5
4,014;
;1,5
;1,5
4,062;1,5
;1,5
;1,5
4,115;
;1,5
;1,5
4,171;1,5
;1,5
;1,5
4,241;
;1,5
;1,5
4,289;1,5
;1,5
;1,5
4,333;
;1,5
;1,5
4,390;1,5
;1,5
;1,5
4,437;
;1,5
;1,5
4,481;1,5
;1,5
;1,5
4,512;
;1,5
;1,5
4,551;1,5
;1,5
;1,5
4,586;
;1,5
;1,5
4,625;1,5
;1,5
;1,5
4,695;
;1,5
;1,5
4,730;1,5
;1,5
;1,5
4,747;
;1,5
;1,5
4,765;1,5
;1,5
;1,5
4,791;
;1,5
;1,5
4,843;1,5
;1,5
;1,5
4,922;
;1,5
;1,5
5,000;1,5
;1,5
;1,5
5,092;
;1,5
;1,5
5,175;1,5
;1,5
;1,5
5,271;
;1,5
;1,5
5,389;1,5
;1,5
;1,5
5,524;
;1,5
;1,5
5,637;1,5
;1,5
;1,5
5,694;
;1,5
;1,5
5,733;1,5
;1,5
;1,5
5,777;
;1,5
;1,5
5,821;1,5
;1,5
;1,5
5,869;
;1,5
;1,5
5,917;1,5
;1,5
;1,5
5,969;
;1,5
;1,5
6,008;1,5
;1,5
;1,5
6,039;
;1,5
;1,5
6,065;1,5
;1,5
;1,5
6,074;
;1,5
;1,5
6,091;1,5
;1,5
;1,5
6,117;
;1,5
;1,5
6,161;1,5
;1,5
;1,5
6,222;
;1,5
;1,5
6,288;1,5
;1,5
;1,5
6,309;
;1,5
;1,5
6,318;1,5
;1,5
;1,5
6,336;
;1,5
;1,5
6,357;1,5
;1,5
;1,5
6,384;
;1,5
;1,5
6,418;1,5
;1,5
;1,5
6,458;
;1,5
;1,5
6,475;1,5
;1,5
;1,5
6,493;
;1,5
;1,5
6,506;1,5
;1,5
;1,5
6,510;
;1,5
;1,5
6,514;1,5
;1,5
;1,5
6,523;
;1,5
;1,5
6,528;1,5
;1,5
;1,5
6,532;
;1,5
;1,5
6,532;1,5
;1,5
;1,5
6,541;
;1,5
;1,5
6,558;1,5
;1,5
;1,5
6,580;
;1,5
;1,5
6,610;1,5
;1,5
;1,5
6,632;
;1,5
;1,5
6,645;1,5
;1,5
;1,5
6,672;
;1,5
;1,5
6,715;1,5
;1,5
;1,5
6,781;
;1,5
;1,5
6,868;1,5
;1,5
;1,5
6,955;
;1,5
;1,5
7,025;1,5
;1,5
;1,5
7,082;
;1,5
;1,5
7,112;1,5
;1,5
;1,5
7,138;
;1,5
;1,5
7,160;1,5
;1,5
;1,5
7,173;
;1,5
;1,5
7,191;1,5
;1,5
;1,5
7,226;
;1,5
;1,5
7,265;1,5
;1,5
;1,5
7,322;
;1,5
;1,5
7,396;1,5
;1,5
;1,5
7,461;
;1,5
;1,5
7,540;1,5
;1,5
;1,5
7,592;
;1,5
;1,5
7,640;1,5
;1,5
;1,5
7,671;
;1,5
;1,5
7,688;1,5
;1,5
;1,5
7,714;
;1,5
;1,5
7,749;1,5
;1,5
;1,5
7,793;
;1,5
;1,5
7,850;1,5
;1,5
;1,5
7,906;
;1,5
;1,5
7,937;1,5
;1,5
;1,5
7,976;
;1,5
;1,5
8,002;1,5
;1,5
;1,5
8,037;
;1,5
;1,5
8,077;1,5
;1,5
;1,5
8,116;
;1,5
;1,5
8,138;1,5
;1,5
;1,5
8,146;
;1,5
;1,5
8,151;1,5
;1,5
;1,5
8,155;
;1,5
;1,5
8,164;1,5
;1,5
;1,5
8,173;
;1,5
;1,5
8,186;1,5
;1,5
;1,5
8,203;
;1,5
;1,5
8,225;1,5
;1,5
;1,5
8,242;
;1,5
;1,5
8,264;1,5
;1,5
;1,5
8,303;
;1,5
;1,5
8,334;1,5
;1,5
;1,5
8,404;
;1,5
;1,5
8,474;1,6
;1,5
;1,5
8,552;
;1,5
;1,5
8,622;1,6
;1,5
;1,5
8,692;
;1,5
;1,5
8,783;1,5
;1,6
;1,6
8,862;
;1,6
;1,6
8,910;1,6
;1,6
;1,6
8,962;
;1,6
;1,6
9,019;1,5
;1,6
;1,6
9,063;
;1,6
;1,5
9,098;1,6
;1,6
;1,5
9,137;
;1,5
;1,6
9,172;1,5
;1,6
;1,5
9,207;
;1,6
;1,5
9,246;1,6
;1,5
;1,5
9,298;
;1,5
;1,5
9,342;1,5
;1,5
;1,5
9,394;
;1,5
;1,5
9,425;1,5
;1,5
;1,5
9,447;
;1,5
;1,5
9,490;1,5
;1,5
;1,5
9,547;
;1,5
;1,5
9,582;1,5
;1,5
;1,5
9,621;
;1,5
;1,5
9,665;1,5
;1,5
;1,5
9,704;
;1,5
;1,5
9,743;1,5
;1,5
;1,5
9,783;
;1,5
;1,5
9,826;1,5
;1,5
;1,5
9,883;
;1,5
;1,5
9,940;1,5
;1,5
;1,5
10,001;
;1,5
;1,5
10,040;1,5
;1,5
;1,5
10,075;
;1,5
;1,5
10,132;1,5
;1,5
;1,5
10,193;
;1,5
;1,5
10,249;1,5
;1,5
;1,5
10,306;
;1,5
;1,5
10,337;1,5
;1,5
;1,5
10,345;
;1,5
;1,5
10,350;1,5
;1,5
;1,5
10,354;
;1,5
;1,5
10,359;1,5
;1,5
;1,5
10,367;
;1,5
;1,5
10,385;1,5
;1,5
;1,5
10,415;
;1,5
;1,5
10,459;1,5
;1,5
;1,5
10,507;
;1,5
;1,5
10,581;1,5
;1,5
;1,5
10,664;
;1,5
;1,5
10,751;1,5
;1,5
;1,5
10,834;
;1,5
;1,5
10,891;1,5
;1,4
;1,4
10,939;
;1,4
;1,4
10,965;1,4
;1,4
;1,4
10,987;
;1,4
;1,4
11,013;1,4
;1,4
;1,4
11,039;
;1,4
;1,4
11,052;1,4
;1,4
;1,4
11,065;
;1,4
;1,4
11,092;1,4
;1,4
;1,5
11,131;
;1,5
;1,5
11,174;1,5
;1,5
;1,5
11,205;
;1,5
;1,5
11,227;1,5
;1,5
;1,5
11,244;
;1,5
;1,5
11,288;1,5
;1,5
;1,5
11,327;
;1,5
;1,4
11,366;1,4
;1,4
;1,4
11,414;
;1,4
;1,5
11,458;1,4
;1,4
;1,4
11,497;
;1,4
;1,4
11,550;1,4
;1,4
;1,4
11,589;
;1,4
;1,4
11,624;1,4
;1,4
;1,4
11,668;
;1,4
;1,4
11,702;1,4
;1,4
;1,4
11,742;
;1,4
;1,4
11,803;1,4
;1,4
;1,4
11,868;
;1,4
;1,3
11,934;1,3
;1,3
;1,3
11,986;
;1,3
;1,3
12,047;1,3
;1,3
;1,3
12,139;
;1,3
;1,2
12,248;1,2
;1,2
;1,2
12,344;
;1,2
;1,2
12,418;1,2
;1,2
;1,1
12,479;
;1,1
;1,2
12,527;1,1
;1,1
;1,1
12,571;
;1,1
;1,1
12,606;1,1
;1,1
;1,1
12,658;
;1,1
;1,1
12,745;1,1
;1,1
;1,1
12,802;
;1,1
;1,1
12,854;1,1
;1,1
;1,1
12,889;
;1,1
;1,1
12,924;1,1
;1,1
;1,1
12,955;
;1,1
;1,1
12,981;1,1
;1,1
;1,1
13,003;
;1,1
;1,1
13,025;1,1
;1,1
;1,1
13,033;
;1,1
;1,1
13,038;1,1
;1,1
;1,1
13,051;
;1,1
;1,1
13,059;1,1
;1,1
;1,1
13,077;
;1,1
;1,1
13,121;1,1
;1,1
;1,1
13,177;
;1,1
;1,1
13,221;1,1
;1,1
;1,0
13,247;
;1,0
;1,0
13,278;1,0
;1,0
;1,0
13,304;
;1,0
;1,0
13,347;1,0
;1,0
;1,0
13,395;
;1,0
;1,0
13,426;1,0
;1,0
;1,0
13,456;
;1,0
;1,0
13,483;1,0
;1,0
;1,0
13,518;
;1,0
;1,0
13,557;1,0
;1,0
;1,0
13,600;
;1,0
;1,0
13,618;0,9
;1,0
;0,9
13,622;
;0,9
;0,9
13,631;0,9
;0,9
;0,9
13,640;
;0,9
;0,9
13,648;0,9
;0,9
;0,9
13,662;
;0,9
;0,9
13,675;0,9
;0,9
;0,9
13,683;
;0,9
;0,9
13,692;0,9
;0,9
;0,9
13,710;
;0,9
;0,9
13,727;0,9
;0,9
;0,9
13,762;
;0,9
;0,9
13,792;0,9
;0,9
;0,9
13,858;
;0,9
;0,9
13,923;0,9
;0,9
;0,9
13,998;
;0,9
;0,9
14,076;0,9
;0,9
;0,9
14,133;
;0,9
;0,9
14,159;0,9
;0,9
;0,9
14,190;
;0,9
;0,9
14,211;0,9
;0,9
;0,9
14,255;
;0,9
;0,9
14,329;0,9
;0,9
;0,9
14,403;
;0,9
;0,9
14,482;0,9
;0,9
;0,9
14,552;
;0,9
;0,9
14,635;0,9
;0,9
;0,9
14,735;
;0,9
;0,9
14,835;0,9
;0,9
;0,9
14,949;
;0,9
;0,9
15,067;0,9
;0,9
;0,9
15,193;
;0,9
;0,9
15,280;0,9
;0,9
;0,9
15,363;
;0,9
;0,9
15,472;0,9
;0,9
;0,9
15,551;
;0,9
;0,9
15,599;0,9
;0,9
;0,9
15,647;
;0,9
;0,9
15,699;0,9
;0,9
;0,9
15,734;
;0,9
;0,9
15,773;0,9
;0,9
;0,9
15,813;
;0,9
;0,9
15,856;0,9
;0,9
;0,9
15,913;
;0,9
;0,9
15,974;0,9
;0,9
;0,9
16,035;
;0,9
;0,9
16,096;0,9
;0,9
;0,9
16,127;
;0,9
;0,9
16,166;0,9
;0,9
;0,9
16,197;
;0,9
;0,9
16,218;0,9
;0,9
;0,9
16,245;
;0,9
;0,9
16,275;0,9
;0,9
;0,9
16,310;
;0,9
;0,9
16,345;0,9
;0,9
;0,9
16,376;
;0,9
;0,9
16,406;0,9
;0,9
;0,9
16,428;
;0,9
;0,9
16,450;0,9
;0,9
;0,9
16,472;
;0,9
;0,9
16,498;0,9
;0,9
;0,9
16,524;
;0,9
;0,9
16,559;0,9
;0,9
;0,9
16,589;
;0,9
;0,9
16,629;0,9
;0,9
;0,9
16,664;
;0,9
;0,9
16,694;0,9
;0,9
;0,9
16,720;
;0,9
;0,9
16,760;0,9
;0,9
;0,9
16,794;
;0,9
;0,9
16,834;0,9
;0,9
;0,9
16,873;
;0,9
;0,9
16,908;0,9
;0,9
;0,9
16,921;
;0,9
;0,9
16,930;0,9
;0,9
;0,9
16,934;
;0,9
;0,9
16,943;0,9
;0,9
;0,9
16,947;
;0,9
;0,9
16,952;0,9
;0,9
;0,9
16,956;
;0,9
;0,9
16,960;0,9
;0,9
;0,9
16,965;
;0,9
;0,9
16,978;0,9
;0,9
;0,9
16,995;
;0,9
;0,9
17,017;0,9
;0,9
;0,9
17,034;
;0,9
;0,9
17,056;0,9
;0,9
;0,9
17,082;
;0,9
;0,9
17,100;0,9
;0,9
;0,9
17,113;
;0,9
;0,9
17,130;0,9
;0,9
;0,9
17,165;
;0,9
;0,9
17,235;0,9
;0,9
;0,9
17,309;
;0,9
;0,9
17,418;0,9
;0,9
;0,9
17,580;
;0,9
;0,9
17,746;0,9
;0,9
;0,9
17,903;
;0,9
;0,9
17,973;0,9
;0,9
;0,9
17,994;
;0,9
;0,9
18,016;0,9
;0,9
;0,9
18,055;
;0,9
;0,9
18,095;0,9
;0,9
;0,9
18,121;
;0,9
;0,9
18,134;0,9
;0,9
;0,9
18,143;
;0,9
;0,9
18,147;0,9
;0,9
;0,9
18,147;
;0,9
;0,9
18,151;0,9
;0,9
;0,9
18,151;
;0,9
;0,9
18,156;0,9
;0,9
;0,9
18,156;
;0,9
;0,9
18,160;0,9
;0,9
;0,9
18,165;
;0,9
;0,9
18,169;0,9
;0,9
;0,9
18,178;
;0,9
;0,9
18,199;0,9
;0,9
;0,9
18,221;
;0,9
;0,9
18,243;0,9
;0,9
;0,9
18,274;
;0,9
;0,9
18,304;0,9
;0,9
;0,9
18,356;
;0,9
;0,9
18,404;0,9
;0,9
;0,9
18,461;
;0,9
;0,9
18,509;0,9
;0,9
;0,9
18,540;
;0,9
;0,9
18,557;0,9
;0,9
;0,9
18,583;
;0,9
;0,9
18,614;0,9
;0,9
;0,9
18,640;
;0,9
;0,9
18,684;0,9
;0,9
;0,9
18,740;
;0,9
;0,9
18,793;0,9
;0,9
;0,9
18,819;
;0,9
;0,9
18,828;0,9
;0,9
;0,9
18,841;
;0,9
;0,9
18,867;0,9
;0,9
;0,9
18,898;
;0,9
;0,9
18,924;0,9
;0,9
;0,9
18,963;
;0,9
;0,9
19,050;0,9
;0,9
;0,9
19,177;
;0,9
;0,9
19,308;0,9
;0,9
;0,9
19,395;
;0,9
;0,8
19,430;0,8
;0,8
;0,8
19,447;
;0,8
;0,8
19,465;0,8
;0,8
;0,8
19,522;
;0,8
;0,8
19,670;0,8
;0,8
;0,8
19,844;
;0,8
;0,8
20,001;0,8
;0,8
;0,8
20,119;
;0,8
;0,8
20,198;0,8
;0,8
;0,8
20,241;
;0,8
;0,8
20,263;0,8
;0,8
;0,8
20,285;
;0,8
;0,8
20,316;0,8
;0,8
;0,8
20,329;
;0,8
;0,8
20,329;0,8
;0,8
;0,8
20,342;
;0,8
;0,8
20,368;0,8
;0,8
;0,9
20,377;
;0,9
;0,8
20,403;0,9
;0,9
;0,8
20,433;
;0,8
;0,8
20,468;0,9
;0,9
;0,9
20,490;
;0,8
;0,9
20,495;0,9
;0,9
;0,8
20,508;
;0,9
;0,9
20,556;0,8
;0,9
;0,9
20,612;
;0,9
;0,9
20,700;0,9
;0,9
;0,9
20,796;
;0,9
;0,9
20,878;0,9
;0,9
;0,9
20,961;
;0,9
;0,9
21,018;0,9
;0,9
;0,9
21,088;
;0,9
;0,9
21,188;0,9
;0,9
;0,9
21,315;
;0,9
;0,9
21,424;0,9
;0,9
;0,9
21,463;
;0,9
;0,9
21,485;0,9
;0,9
;0,9
21,524;
;0,9
;0,9
21,629;0,9
;0,9
;0,9
21,742;
;0,9
;0,9
21,847;0,9
;0,9
;0,9
21,948;
;0,9
;0,9
22,061;0,9
;0,9
;0,9
22,148;
;0,9
;0,9
22,214;0,9
;0,9
;0,9
22,270;
;0,9
;0,9
22,353;0,9
;0,9
;0,9
22,414;
;0,9
;0,9
22,484;0,9
;0,9
;0,9
22,558;
;0,9
;0,9
22,654;0,9
;0,9
;0,9
22,755;
;0,9
;0,9
22,833;0,9
;0,9
;0,9
22,907;
;0,9
;0,9
22,977;0,9
;0,9
;0,9
23,056;
;0,9
;0,9
23,147;0,9
;0,9
;0,9
23,239;
;0,9
;0,9
23,370;0,9
;0,9
;0,9
23,501;
;0,9
;0,9
23,627;0,9
;0,9
;0,9
23,750;
;0,9
;0,9
23,841;1,0
;0,9
;1,0
23,924;
;0,9
;0,9
23,998;0,9
;0,9
;0,9
24,046;
;0,9
;0,9
24,116;0,9
;0,9
;0,9
24,199;
;0,9
;0,9
24,291;0,9
;0,9
;0,9
24,374;
;0,9
;0,9
24,439;0,9
;0,9
;0,9
24,504;
;0,9
;0,9
24,561;0,9
;0,9
;0,9
24,627;
;0,9
;0,9
24,666;0,9
;0,9
;0,9
24,709;
;0,9
;0,9
24,762;0,9
;0,9
;0,9
24,862;
;0,9
;0,9
24,949;0,9
;0,9
;0,9
25,054;
;0,9
;0,9
25,146;0,9
;0,9
;0,9
25,220;
;1,0
;1,0
25,307;0,9
;1,0
;0,9
25,395;
;0,9
;1,0
25,477;1,0
;1,0
;1,0
25,543;
;1,0
;1,0
25,635;0,9
;1,0
;1,0
25,704;
;1,0
;1,0
25,752;1,0
;1,0
;1,0
25,783;
;1,0
;1,0
25,792;1,0
;1,0
;1,0
25,796;
;1,0
;1,0
25,813;1,0
;1,0
;1,0
25,835;
;1,0
;1,0
25,861;1,0
;1,0
;1,0
25,875;
;1,0
;1,0
25,909;1,0
;1,0
;1,0
25,992;
;1,0
;1,0
26,084;1,0
;1,0
;1,0
26,197;
;1,0
;1,0
26,272;1,0
;1,0
;1,0
26,324;
;1,0
;1,0
26,376;1,0
;1,0
;1,0
26,442;
;1,0
;1,0
26,529;1,0
;1,0
;1,0
26,594;
;1,0
;1,0
26,656;1,0
;1,0
;1,0
26,712;
;1,0
;1,0
26,765;1,0
;1,0
;1,0
26,830;
;1,0
;1,0
26,900;1,0
;1,0
;1,0
26,978;
;1,0
;1,0
27,088;1,0
;1,0
;1,0
27,188;
;1,0
;1,0
27,275;1,0
;1,0
;1,0
27,332;
;1,0
;1,0
27,397;1,0
;1,0
;1,0
27,467;
;1,0
;1,0
27,519;1,0
;1,0
;1,0
27,567;
;1,0
;1,0
27,615;1,0
;1,0
;1,0
27,655;
;1,0
;1,0
27,703;1,0
;1,0
;1,0
27,751;
;1,0
;1,0
27,799;1,0
;1,0
;1,0
27,855;
;1,0
;1,0
27,917;1,0
;1,0
;1,0
27,965;
;1,0
;1,0
27,995;1,0
;1,0
;1,0
28,017;
;1,0
;1,0
28,047;1,0
;1,0
;1,1
28,087;
;1,1
;1,0
28,139;1,0
;1,1
;1,1
28,183;
;1,1
;1,1
28,218;1,1
;1,1
;1,1
28,253;
;1,1
;1,1
28,309;1,1
;1,1
;1,1
28,344;
;1,1
;1,1
28,379;1,1
;1,1
;1,1
28,466;
;1,1
;1,2
28,536;1,2
;1,2
;1,2
28,619;
;1,2
;1,2
28,663;1,2
;1,2
;1,2
28,684;
;1,3
;1,3
28,698;1,3
;1,3
;1,3
28,702;
;1,3
;1,3
28,706;1,3
;1,3
;1,3
28,719;
;1,3
;1,3
28,728;1,3
;1,3
;1,3
28,732;
;1,3
;1,3
28,737;1,3
;1,3
;1,3
28,741;
;1,3
;1,3
28,750;1,3
;1,3
;1,3
28,794;
;1,3
;1,3
28,850;1,3
;1,3
;1,3
28,911;
;1,3
;1,3
29,012;1,3
;1,4
;1,4
29,134;
;1,4
;1,4
29,278;1,4
;1,4
;1,4
